queue_id,win,champion,role,game_duration,kills,deaths,assists,lane_minions,jungle_minions,vision_score,wards_placed,wards_killed,control_wards_placed,min5_gold,min5_cs,min5_gold_diff,min5_xp_diff,min5_cs_diff,min10_gold,min10_cs,min10_gold_diff,min10_xp_diff,min10_cs_diff,min15_gold,min15_cs,min15_gold_diff,min15_xp_diff,min15_cs_diff,match_num,history_wr_global,history_wr_champ,CS_per_min,KDA,total_wards_placed,wards_per_min,vs_per_min,is_MMR_check,racha_previa
420,1,Trundle,TOP,32.42,7,7,6,185,28,17,10,2,0,1273,19,-542,-83,-12,2529.0,45.0,-2379,-2011,-40,5233.0,77.0,-2108,-1484,-57,1508945367,0.5301204819277109,0.375,6.57,1.86,10,0.3084515731030228,0.5243676742751388,0,2
420,1,Trundle,TOP,28.12,5,4,5,196,19,26,9,5,3,1870,29,510,662,5,3310.0,68.0,475,565,-1,5983.0,104.0,979,787,5,1508955647,0.5357142857142857,0.4444444444444444,7.65,2.5,12,0.4267425320056899,0.9246088193456614,1,3
420,0,Trundle,TOP,24.53,4,9,1,148,0,12,8,1,1,1222,17,-570,-263,-9,2879.0,51.0,-1248,-533,-18,4315.0,88.0,-3102,-1733,-35,1509277016,0.5411764705882353,0.5,6.03,0.56,9,0.36689767631471665,0.48919690175295555,0,4
420,1,Smolder,BOTTOM,26.83,7,4,10,175,12,17,9,3,3,1444,25,-154,-297,-9,2860.0,62.0,-1125,-751,-14,5443.0,103.0,-110,-27,-16,1509278532,0.5348837209302325,0.25,6.97,4.25,12,0.44726052925829296,0.6336190831159151,0,-1
420,0,Blitzcrank,UTILITY,36.2,1,5,17,23,8,104,49,7,8,1210,6,77,-114,3,2391.0,11.0,128,-881,3,3637.0,16.0,-243,-2277,-3,1515605910,0.5333333333333333,0.5,0.86,3.6,57,1.5745856353591159,2.87292817679558,0,1
420,0,Ezreal,BOTTOM,34.48,3,4,2,231,4,26,14,5,4,1528,29,-140,-135,-9,2837.0,64.0,-836,-86,-24,4464.0,88.0,-1576,-662,-41,1515620572,0.5274725274725275,0.5,6.82,1.25,18,0.5220417633410673,0.7540603248259862,0,-1
420,1,Trundle,TOP,37.02,6,12,7,254,16,34,16,0,4,1694,22,-1,-312,6,3239.0,54.0,-443,-540,-1,4619.0,88.0,-1186,-1596,0,1515634178,0.5217391304347826,0.45454545454545453,7.29,1.08,20,0.5402485143165856,0.9184224743381955,0,-2
420,0,Vi,JUNGLE,29.03,4,6,17,21,130,26,3,7,3,1705,31,-377,-284,-2,3237.0,57.0,-701,-726,-18,5524.0,82.0,-505,-1353,-40,1515650037,0.5268817204301075,0.5,5.2,3.5,6,0.20668274199104375,0.8956252152945229,0,1
420,0,XinZhao,JUNGLE,35.0,11,10,9,28,152,31,6,4,6,1553,29,54,-30,4,2740.0,49.0,-459,-734,-15,4575.0,74.0,-342,-723,-28,1515658912,0.5212765957446809,0.5,5.14,2.0,12,0.34285714285714286,0.8857142857142857,0,-1
420,0,DrMundo,TOP,28.53,6,9,2,152,0,20,11,2,2,1395,23,-282,-69,-2,3444.0,68.0,-13,657,11,5605.0,94.0,-215,5,4,1515673276,0.5157894736842106,0.5,5.33,0.89,13,0.4556607080266386,0.7010164738871363,0,-2
420,1,Jhin,BOTTOM,23.8,10,1,10,157,4,20,13,0,6,1563,35,9,241,5,3750.0,70.0,760,296,-6,6280.0,111.0,1649,194,-12,1516162115,0.5104166666666666,0.5,6.76,20.0,19,0.7983193277310924,0.8403361344537815,0,-3
420,0,Jhin,BOTTOM,38.43,2,6,7,260,4,32,16,6,4,1981,35,452,-69,5,3682.0,76.0,554,-50,0,5435.0,123.0,352,-255,3,1516180091,0.5154639175257731,1.0,6.87,1.5,20,0.5204267499349466,0.8326827998959146,0,1
420,0,Jhin,BOTTOM,31.98,7,6,4,175,0,22,12,5,3,1406,25,-130,-97,-2,3617.0,59.0,388,-342,-8,5474.0,89.0,861,-524,-3,1516533212,0.5102040816326531,0.5,5.47,1.83,15,0.46904315196998125,0.6879299562226392,0,-1
420,0,Trundle,TOP,23.47,6,7,0,176,0,13,7,0,1,1467,14,-298,-56,-18,3700.0,62.0,314,810,-4,5608.0,106.0,-212,276,-7,1516538935,0.5050505050505051,0.5,7.5,0.86,8,0.3408606731998296,0.5538985939497231,0,-2
420,0,Smolder,BOTTOM,26.2,6,8,5,180,4,16,10,2,2,1952,33,452,300,2,3846.0,65.0,941,254,7,5370.0,107.0,301,-744,3,1516561555,0.5,0.4,7.02,1.38,12,0.4580152671755725,0.6106870229007634,0,-3
420,1,Trundle,TOP,31.0,5,8,6,204,24,24,11,2,3,1472,30,35,267,2,3333.0,63.0,-205,-692,-13,5960.0,105.0,71,-905,-26,1516569296,0.49504950495049505,0.46153846153846156,7.35,1.38,14,0.45161290322580644,0.7741935483870968,0,-4
420,0,Ashe,BOTTOM,34.42,11,7,9,190,39,28,13,3,2,1714,23,208,-132,-8,3447.0,66.0,684,451,3,5864.0,96.0,1495,980,-6,1516707337,0.5,0.5,6.65,2.86,15,0.43579314352120857,0.8134805345729227,0,1
420,1,Vayne,BOTTOM,27.47,21,4,2,162,36,22,9,3,2,2752,23,1396,10,6,6539.0,55.0,3590,1483,25,8862.0,92.0,4331,754,37,1516715791,0.49514563106796117,0.5,7.21,5.75,11,0.4004368401892974,0.8008736803785949,0,-1
420,0,Vayne,BOTTOM,24.45,3,9,2,133,0,13,7,2,1,1522,30,-189,112,8,3309.0,53.0,-903,-1030,-11,4589.0,83.0,-2543,-1529,-19,1516721820,0.5,1.0,5.44,0.56,8,0.32719836400818,0.5316973415132924,0,1
420,1,Varus,BOTTOM,31.18,14,3,6,214,12,17,11,1,2,1688,19,-79,87,-4,4552.0,71.0,1333,659,16,6615.0,97.0,1596,765,22,1516730901,0.49523809523809526,0.5,7.25,6.67,13,0.41693393200769724,0.5452212957023733,0,-1
420,0,Varus,BOTTOM,31.62,6,10,6,199,4,17,12,1,2,1682,37,-60,-40,-4,3349.0,78.0,-207,-759,0,4873.0,108.0,-1263,-818,-18,1516747344,0.5,1.0,6.42,1.2,14,0.44275774826059455,0.5376344086021505,0,1
420,1,Sivir,BOTTOM,25.45,9,5,6,183,36,29,9,5,2,2244,25,551,-262,-7,4373.0,72.0,953,21,-4,6180.0,111.0,171,301,-9,1516755349,0.4953271028037383,0.5,8.61,3.0,11,0.43222003929273084,1.1394891944990178,0,-1
420,1,Jhin,BOTTOM,30.05,6,3,5,181,20,19,11,2,2,1608,23,19,201,-2,3767.0,67.0,871,327,7,5644.0,107.0,1274,-118,8,1516760891,0.5,0.3333333333333333,6.69,3.67,13,0.43261231281198004,0.632279534109817,0,1
420,0,Ezreal,BOTTOM,33.95,8,7,9,194,0,24,13,1,3,1800,28,-70,59,0,3862.0,61.0,374,-158,11,5962.0,89.0,-818,-1514,-6,1516945005,0.5045871559633027,0.0,5.71,2.43,16,0.471281296023564,0.706921944035346,0,2
420,0,Sivir,BOTTOM,29.55,6,4,2,272,7,15,11,0,3,1943,25,274,274,-7,4077.0,72.0,1069,1063,7,5979.0,114.0,-298,261,3,1516955142,0.5,1.0,9.44,2.0,14,0.47377326565143824,0.5076142131979695,0,-1
420,1,Jax,TOP,29.53,9,3,13,179,8,23,12,3,3,1640,26,237,253,3,3270.0,54.0,279,143,3,5928.0,98.0,1308,955,12,1517026406,0.4954954954954955,0.5,6.33,7.33,15,0.5079580088046055,0.7788689468337284,0,-2
420,1,Jax,TOP,28.6,6,8,11,140,6,26,9,2,2,2505,24,911,599,-2,4490.0,57.0,928,1074,7,5758.0,87.0,-280,-411,-16,1517250578,0.5,1.0,5.1,2.12,11,0.3846153846153846,0.9090909090909091,0,1
420,1,Xayah,BOTTOM,25.13,8,3,8,182,8,22,9,4,2,1435,25,-567,26,-6,3966.0,74.0,-453,307,-8,6365.0,113.0,490,1444,-8,1517265581,0.504424778761062,0.5,7.56,5.33,11,0.4377238360525269,0.8754476721050538,0,2
420,1,Varus,BOTTOM,39.62,8,13,8,220,19,33,15,7,3,2003,25,408,-11,10,4011.0,68.0,944,174,14,6263.0,98.0,1268,677,15,1518445913,0.5087719298245614,0.5,6.03,1.23,18,0.45431600201918226,0.8329126703685008,1,3
420,0,Vayne,BOTTOM,29.73,1,7,6,180,4,17,13,1,4,1540,19,-1053,-551,-16,3042.0,64.0,-1627,-208,-17,4733.0,101.0,-3349,-1260,-33,1518589491,0.5130434782608696,0.5,6.19,1.0,17,0.5718129835183317,0.5718129835183317,0,4
420,1,Tristana,BOTTOM,33.4,9,4,8,208,21,29,13,6,3,1463,26,-638,-48,1,3612.0,76.0,-318,311,1,5844.0,116.0,23,564,12,1518601393,0.5086206896551724,0.5,6.86,4.25,16,0.47904191616766467,0.8682634730538923,0,-1
420,0,Tristana,BOTTOM,34.08,8,9,5,184,32,25,11,6,2,1500,28,17,99,-2,2675.0,51.0,-1137,-463,-27,4295.0,82.0,-1987,-653,-35,1518720433,0.5128205128205128,1.0,6.34,1.44,13,0.3814553990610329,0.7335680751173709,0,1
420,0,Xayah,BOTTOM,24.47,2,6,1,119,6,8,2,3,0,1611,19,-614,-119,-9,2999.0,57.0,-1113,-591,-17,4235.0,75.0,-2048,-1718,-44,1518730755,0.5084745762711864,1.0,5.11,0.5,2,0.08173273395995097,0.32693093583980387,0,-1
420,0,Shyvana,JUNGLE,25.05,2,10,5,45,145,15,2,3,1,1629,30,19,159,-3,3851.0,68.0,-431,271,5,5694.0,121.0,-1769,-140,15,1518902960,0.5042016806722689,0.5,7.58,0.7,3,0.11976047904191617,0.5988023952095808,0,-2
420,1,Trundle,JUNGLE,34.95,7,4,10,63,199,27,5,3,3,1527,28,-387,232,5,3284.0,67.0,-453,110,6,5226.0,104.0,-662,-199,2,1518923297,0.5,0.5,7.5,4.25,8,0.228898426323319,0.7725321888412017,0,-3
420,0,Trundle,JUNGLE,29.25,6,6,10,40,130,34,5,6,3,1568,28,241,430,11,3085.0,52.0,-1141,-744,-7,5258.0,85.0,-882,-328,3,1518947646,0.5041322314049587,0.5333333333333333,5.81,2.67,8,0.27350427350427353,1.1623931623931625,0,1
420,0,Trundle,JUNGLE,28.02,2,11,3,20,125,23,10,1,2,1393,20,-977,-937,-16,2729.0,47.0,-1457,-618,-10,4489.0,76.0,-1561,-676,-11,1518957898,0.5,0.5,5.17,0.45,12,0.4282655246252677,0.820842255531763,0,-1
420,1,Trundle,TOP,28.55,6,5,2,230,16,22,9,2,1,1750,24,512,283,5,4127.0,62.0,1559,936,4,7354.0,113.0,3213,1940,23,1518969806,0.4959349593495935,0.47058823529411764,8.62,1.6,10,0.3502626970227671,0.7705779334500875,0,-2
420,0,Trundle,TOP,22.02,2,5,0,165,0,9,6,0,0,1647,36,507,368,23,3209.0,74.0,141,-130,20,4906.0,104.0,-50,-557,10,1518987132,0.5,0.5,7.49,0.4,6,0.2724795640326976,0.4087193460490463,0,1
420,0,Trundle,TOP,29.48,2,5,5,242,16,25,9,5,0,1591,34,-68,-60,-4,3736.0,72.0,361,-159,-10,5119.0,110.0,-933,-1318,-22,1518997364,0.496,0.47368421052631576,8.75,1.4,9,0.30529172320217096,0.8480325644504749,0,-1
420,1,KSante,TOP,26.97,9,3,10,165,4,18,10,2,1,1371,22,-227,-228,1,3532.0,61.0,914,1382,17,5910.0,103.0,1219,2221,34,1519010571,0.49206349206349204,0.25,6.27,6.33,11,0.40786058583611423,0.6674082313681869,0,-2
420,0,KSante,TOP,33.32,8,6,5,217,0,34,11,1,2,1820,28,309,452,-3,3266.0,65.0,-36,36,-11,4827.0,107.0,-660,47,-6,1519023528,0.49606299212598426,0.4,6.51,2.17,13,0.39015606242497,1.0204081632653061,0,1
420,0,KSante,TOP,35.7,3,8,3,199,2,34,14,6,3,1607,23,222,83,-1,3144.0,66.0,81,-63,-8,4429.0,97.0,-95,-266,-7,1519040286,0.4921875,0.3333333333333333,5.63,0.75,17,0.47619047619047616,0.9523809523809523,0,-1
420,0,KSante,TOP,23.57,1,3,0,164,0,16,9,1,3,1364,23,-150,-94,-5,2945.0,64.0,-232,-235,-10,4181.0,94.0,-1118,-638,-20,1519357698,0.4883720930232558,0.2857142857142857,6.96,0.33,12,0.5091217649554518,0.6788290199406024,0,-2
420,1,Trundle,JUNGLE,26.1,6,3,12,33,154,27,4,6,4,1731,32,-534,-184,4,3483.0,74.0,-485,81,13,6485.0,97.0,929,1464,23,1519363687,0.4846153846153846,0.45,7.16,6.0,8,0.3065134099616858,1.0344827586206895,0,-3
420,1,Trundle,JUNGLE,37.13,9,6,8,80,205,42,7,9,7,1538,28,60,46,4,3820.0,62.0,581,163,12,6730.0,94.0,1596,639,6,1519375760,0.48854961832061067,0.47619047619047616,7.68,2.83,14,0.37705359547535683,1.1311607864260704,0,1
420,1,Trundle,JUNGLE,25.22,5,4,10,6,127,21,6,2,6,1778,24,179,-181,-8,3507.0,45.0,-496,-234,-17,5853.0,76.0,-104,-640,-29,1519522839,0.49242424242424243,0.5,5.27,3.75,12,0.4758128469468676,0.8326724821570183,0,2
420,0,Trundle,JUNGLE,20.78,0,4,3,22,57,6,1,1,1,1721,26,27,7,2,2588.0,38.0,-1012,-1531,-20,3555.0,52.0,-2049,-2497,-33,1519995957,0.49624060150375937,0.5217391304347826,3.8,0.75,2,0.09624639076034648,0.28873917228103946,1,3
420,1,Pantheon,JUNGLE,17.2,2,1,4,16,98,14,3,1,3,1538,28,70,305,4,3473.0,63.0,476,707,12,5878.0,95.0,447,1354,18,1520003669,0.4925373134328358,0.5,6.63,6.0,6,0.3488372093023256,0.813953488372093,0,-1
420,0,Pantheon,JUNGLE,24.22,3,7,3,27,110,20,4,2,4,1538,28,-159,98,7,3628.0,47.0,203,-459,-2,5729.0,81.0,4,-467,3,1520010420,0.4962962962962963,1.0,5.66,0.86,8,0.33030553261767137,0.8257638315441784,0,1
420,1,Pantheon,JUNGLE,25.05,12,4,7,14,154,17,4,3,4,1861,28,-73,-322,-4,3812.0,49.0,-562,-824,-14,6662.0,80.0,-150,-558,-15,1520019678,0.49264705882352944,0.5,6.71,4.75,8,0.3193612774451098,0.6786427145708582,0,-1
420,1,Pantheon,JUNGLE,27.53,1,3,6,29,165,26,3,6,3,1697,28,59,-86,-4,3096.0,62.0,4,27,2,4662.0,92.0,-602,-736,-4,1520044325,0.49635036496350365,0.6666666666666666,7.05,2.33,6,0.21794406102433708,0.944424264438794,0,1
420,0,Trundle,JUNGLE,32.23,4,8,11,28,132,21,5,4,5,1628,24,-408,-94,-8,3403.0,46.0,-356,-282,-8,4890.0,73.0,-666,-803,-18,1520060787,0.5,0.5,4.96,1.88,10,0.3102699348433137,0.6515668631709588,0,2
420,0,Jax,TOP,34.42,4,10,6,197,16,29,17,3,6,1580,18,-39,-202,-18,3275.0,39.0,476,-99,-21,4842.0,69.0,-200,-1997,-36,1520085910,0.49640287769784175,1.0,6.19,1.0,23,0.6682161533991865,0.84253341080767,0,-1
420,0,Rumble,TOP,27.48,5,7,3,189,0,19,9,3,2,1695,25,-22,367,1,3645.0,75.0,265,433,-4,5838.0,103.0,-184,-1042,-24,1520100147,0.4928571428571429,0.5,6.88,1.14,11,0.4002911208151383,0.6914119359534207,0,-2
420,1,Ahri,MIDDLE,18.32,6,2,5,121,0,10,9,1,3,1591,33,-216,-93,5,3584.0,60.0,-57,-11,-10,5748.0,99.0,660,713,-16,1520106944,0.48936170212765956,0.0,6.6,5.5,12,0.6550218340611353,0.5458515283842794,0,-3
420,1,Ahri,MIDDLE,30.08,15,2,7,211,4,29,15,4,2,1631,37,-48,32,4,4404.0,72.0,1194,1207,4,6424.0,117.0,1631,1995,11,1520195703,0.49295774647887325,0.5,7.15,11.0,17,0.5651595744680852,0.9640957446808511,0,1
420,1,Leblanc,MIDDLE,23.57,12,4,7,130,0,18,9,2,2,1992,37,-192,-31,3,4271.0,74.0,574,413,6,6224.0,94.0,514,-184,-6,1520204216,0.4965034965034965,0.0,5.52,4.75,11,0.4666949512091642,0.7636826474331777,0,2
420,0,Ahri,MIDDLE,24.57,6,9,3,155,0,15,11,2,3,1726,20,-130,-243,-1,3504.0,58.0,-266,-835,-5,5192.0,89.0,-1251,-1963,-10,1520248442,0.5,0.6666666666666666,6.31,1.0,14,0.5698005698005698,0.6105006105006104,1,3
420,1,Ezreal,BOTTOM,31.07,10,4,10,203,13,28,13,3,3,1514,29,-562,-120,0,3098.0,68.0,-548,576,6,5182.0,105.0,-105,927,4,1520257416,0.496551724137931,0.0,6.95,5.0,16,0.5149662053427744,0.9011908593498552,0,-1
420,1,Leblanc,MIDDLE,27.33,6,3,4,163,8,23,14,5,5,1815,31,-168,-242,-6,3173.0,63.0,-582,-160,-20,4878.0,86.0,-407,59,-31,1520277195,0.5,0.5,6.26,3.33,19,0.6952067325283572,0.8415660446395903,0,1
420,0,Ahri,MIDDLE,29.5,4,10,4,198,0,25,15,2,4,1584,33,-240,-151,7,3172.0,67.0,-608,-125,5,5019.0,113.0,-948,240,18,1520400354,0.5034013605442177,0.5,6.71,0.8,19,0.6440677966101694,0.847457627118644,0,2
420,1,Leblanc,MIDDLE,31.68,9,2,6,184,4,23,13,1,3,1940,36,344,236,6,3855.0,66.0,174,236,-1,5916.0,102.0,534,224,-5,1520406182,0.5,0.6666666666666666,5.93,7.5,16,0.5050505050505051,0.726010101010101,0,-1
420,1,Leblanc,MIDDLE,31.42,2,2,16,149,4,18,15,2,3,1580,24,155,-75,-3,2797.0,51.0,-249,183,-6,3970.0,82.0,-2262,-228,-8,1520427370,0.5033557046979866,0.75,4.87,9.0,18,0.5728835136855506,0.5728835136855506,0,1
420,0,Galio,MIDDLE,29.95,2,9,9,165,4,23,13,2,3,1598,33,-83,109,7,3157.0,64.0,72,454,13,4982.0,94.0,-481,276,18,1520628996,0.5066666666666667,0.0,5.64,1.22,16,0.5342237061769616,0.7679465776293823,0,2
420,1,Anivia,MIDDLE,31.35,9,6,6,200,6,28,11,4,2,1402,22,-907,-161,1,2863.0,60.0,-1407,561,2,4862.0,95.0,-2688,-682,-3,1520644139,0.5033112582781457,0.5,6.57,2.5,13,0.4146730462519936,0.8931419457735247,0,-1
420,0,Ahri,MIDDLE,25.42,4,5,7,157,1,24,13,2,3,1662,29,235,313,2,3219.0,65.0,32,82,2,5045.0,99.0,-489,-137,1,1520656973,0.506578947368421,0.4,6.22,2.2,16,0.6294256490952006,0.9441384736428009,0,1
420,1,Cassiopeia,MIDDLE,29.25,8,5,7,189,4,31,11,7,2,1767,30,361,253,5,3460.0,78.0,549,481,12,5205.0,116.0,278,251,7,1520669392,0.5032679738562091,0.5,6.6,3.0,13,0.4444444444444444,1.0598290598290598,0,-1
420,0,Viktor,MIDDLE,27.42,2,3,5,194,0,22,11,1,3,1518,32,-32,33,7,2934.0,71.0,-598,-964,-5,5165.0,108.0,-1104,-1554,-13,1520683149,0.5064935064935064,0.5,7.08,2.33,14,0.5105762217359591,0.8023340627279357,0,1
420,0,Karma,UTILITY,36.68,1,6,22,50,0,83,29,15,6,1177,7,-12,281,0,2198.0,18.0,-52,146,2,3491.0,27.0,-77,355,7,1520899635,0.5032258064516129,0.5,1.36,3.83,35,0.9541984732824428,2.2628135223555073,0,-1
420,1,Leblanc,MIDDLE,29.7,11,2,13,155,4,30,12,5,2,1479,28,-93,-133,1,3336.0,68.0,151,911,8,5800.0,99.0,-614,550,0,1520911727,0.5,0.8,5.35,12.0,14,0.4713804713804714,1.0101010101010102,0,-2
420,1,Leblanc,MIDDLE,29.63,9,6,5,170,0,34,17,3,3,1655,30,218,249,1,3650.0,59.0,828,267,1,5077.0,92.0,-314,-528,-14,1520925915,0.5031847133757962,0.8333333333333334,5.74,2.33,20,0.6749915626054674,1.1474856564292946,0,1
420,1,Trundle,JUNGLE,28.95,6,4,12,31,158,28,5,6,3,2002,32,244,-59,4,3272.0,62.0,-138,-670,-8,5113.0,103.0,-341,-756,-3,1520943341,0.5063291139240507,0.48,6.53,4.5,8,0.2763385146804836,0.9671848013816926,0,2
420,1,Leblanc,MIDDLE,31.58,6,5,6,190,0,23,13,3,6,1217,15,-801,-807,-13,2749.0,35.0,-1256,-1294,-42,4556.0,73.0,-1317,-1163,-42,1521023763,0.5094339622641509,0.8571428571428571,6.02,2.4,19,0.6016466117796074,0.7283090563647879,1,3
420,0,Leblanc,MIDDLE,24.2,6,2,4,153,0,20,11,1,3,1643,24,-130,-542,-3,4066.0,63.0,661,-258,-6,5690.0,91.0,-249,-1285,-18,1522246780,0.5125,0.875,6.32,5.0,14,0.578512396694215,0.8264462809917356,0,4
420,0,Leblanc,MIDDLE,25.02,4,2,7,152,0,19,13,3,4,1807,29,124,0,-10,3328.0,72.0,-1174,-64,2,5697.0,102.0,-935,-205,-3,1522256174,0.5093167701863354,0.7777777777777778,6.08,5.5,17,0.6794564348521183,0.759392486011191,0,-1
420,1,Trundle,JUNGLE,20.08,7,2,8,9,110,17,3,1,3,1638,28,100,94,0,3286.0,58.0,376,226,-2,5697.0,87.0,227,51,-3,1522274439,0.5061728395061729,0.5,5.93,7.5,6,0.29880478087649404,0.8466135458167331,0,-2
420,1,Trundle,JUNGLE,31.88,8,5,14,22,150,29,10,4,10,1552,29,-317,-38,1,4121.0,61.0,1025,788,9,5930.0,86.0,-10,-601,-4,1522282586,0.50920245398773,0.5185185185185185,5.4,4.4,20,0.6273525721455459,0.9096612296110415,0,1
420,1,Trundle,JUNGLE,28.33,8,2,12,43,150,35,5,10,5,1643,24,-532,-191,-4,2981.0,54.0,-574,305,4,5550.0,92.0,-42,-83,1,1522475460,0.5121951219512195,0.5357142857142857,6.81,10.0,10,0.3529827038475115,1.2354394634662902,0,2
