match_id;champion;win;queue_id;game_duration;patch;kills;deaths;assists;kda;role;lane;gold_earned;gold_spent;total_minions;neutral_minions;total_damage;physical_damage;magic_damage;true_damage;damage_taken;damage_healed;vision_score;wards_placed;wards_killed;vision_wards;turret_kills;inhibitor_kills;dragon_kills;baron_kills;rift_herald_kills;item_0;item_1;item_2;item_3;item_4;item_5;item_6;primary_rune_tree;secondary_rune_tree;rune_0_0;rune_0_1;rune_0_2;rune_0_3;rune_1_0;rune_1_1
LA2_1526765029;Sejuani;1;440;26;15.16.706.7476;1;3;14;5.0;JUNGLE;JUNGLE;9684;9100;20;130;11166;5508;5012;645;28123;14102;34;8;5;8;1;0;0;0;0;3075;0;1057;3211;3050;3047;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1526767519;Ezreal;1;440;35;15.16.706.7476;7;3;9;5.333.333.333.333.330;BOTTOM;BOTTOM;14196;13233;221;0;34688;22692;11995;0;23655;6819;31;14;8;3;1;0;0;0;0;3078;6694;1037;2021;3042;3171;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526769628;Sejuani;1;440;27;15.16.706.7476;5;2;18;11.5;JUNGLE;JUNGLE;11153;9950;29;147;17294;9078;7763;452;26902;14970;27;8;4;8;1;0;3;0;0;3075;0;3050;3174;3110;0;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1526771458;Sejuani;0;440;26;15.16.706.7476;0;5;4;0.8;JUNGLE;JUNGLE;7642;7500;20;114;7658;4318;3226;113;31566;13211;17;2;4;2;0;0;0;0;0;3075;3050;3082;3047;0;0;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1526824514;Ezreal;0;440;39;15.16.706.7476;12;6;12;4.0;BOTTOM;BOTTOM;18043;17533;261;4;53876;34517;18919;439;46012;12664;19;16;2;4;1;1;0;0;0;6694;3161;3042;3078;3158;3156;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526834516;Sivir;0;440;30;15.16.706.7476;3;5;6;1.8;BOTTOM;BOTTOM;11322;10900;205;5;22297;22101;140;56;13332;1501;30;14;4;4;1;0;0;0;0;3172;3086;3123;3032;1042;3031;3363;8000;8300;8008;8009;9104;8017;8345;8304
LA2_1526844051;Ezreal;0;440;32;15.16.706.7476;7;5;5;2.4;BOTTOM;BOTTOM;14082;13183;219;4;32044;18192;13160;690;25037;6249;24;11;5;3;1;0;0;0;0;2021;6694;3171;3042;3078;1037;3363;8000;8300;8005;8009;9103;8014;8345;8304
LA2_1526856006;Sejuani;1;440;18;15.16.706.7476;0;1;10;10.0;JUNGLE;NONE;6413;5475;2;110;4709;2860;1768;80;18982;12641;20;5;1;5;0;0;3;0;0;3076;0;3047;1028;3050;0;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1526861985;Sejuani;0;440;34;15.16.706.7476;1;7;12;18.571.428.571.428.500;JUNGLE;JUNGLE;10997;10625;17;151;18904;8965;9539;400;50065;18451;36;5;4;5;0;0;2;0;0;3075;2504;3082;0;3047;3050;3364;8400;8000;8439;8463;8429;8451;9104;9111
LA2_1526874606;Sejuani;0;440;28;15.16.706.7476;3;6;8;18.333.333.333.333.300;JUNGLE;JUNGLE;9657;9425;14;134;13051;8689;3527;834;32438;12261;30;3;3;3;0;0;0;0;0;2504;1057;3111;3066;3050;1028;3364;8400;8000;8439;8463;8429;8451;9104;9111
